trialIter,trialID,valid_cue,target_id,soa,cue_type,side,pic_version,pic_category,pic_type,pic_id,cue_category,block,cue_version,pic_file,cue_file
1,200,0,56,1.2,label,left,A,phone,cell,1,bird,0,A,phone_cell_1,bird_label_A
1,163,0,19,.8,label,right,A,guitar,electric,2,motor,0,A,guitar_electric_2,motor_label_A
1,235,0,91,.8,label,right,B,guitar,acoustic,2,phone,0,B,guitar_acoustic_2,phone_label_B
1,134,1,134,1.2,label,right,B,dog,york,1,dog,0,B,dog_york_1,dog_label_B
1,110,1,110,1.0,label,right,B,dog,york,1,dog,0,B,dog_york_1,dog_label_B
1,80,1,80,.8,label,left,B,phone,rotary,1,phone,0,B,phone_rotary_1,phone_label_B
1,75,1,75,.8,label,left,B,dog,york,2,dog,0,B,dog_york_2,dog_label_B
1,55,1,55,1.2,label,left,A,guitar,electric,2,guitar,0,A,guitar_electric_2,guitar_label_A
1,255,0,111,1.0,label,right,B,dog,york,2,motor,0,B,dog_york_2,motor_label_B
1,87,1,87,.8,label,right,B,dog,york,2,dog,0,B,dog_york_2,dog_label_B
1,184,0,40,1.0,label,right,A,drum,kit,1,guitar,0,A,drum_kit_1,guitar_label_A
1,227,0,83,.8,label,left,B,motor,harley,2,drum,0,B,motor_harley_2,drum_label_B
1,278,0,134,1.2,label,right,B,dog,york,1,phone,0,B,dog_york_1,phone_label_B
1,11,1,11,.8,label,left,A,motor,dirt,2,motor,0,A,motor_dirt_2,motor_label_A
1,8,1,8,.8,label,left,A,phone,cell,1,phone,0,A,phone_cell_1,phone_label_A
1,190,0,46,1.0,label,right,A,motor,dirt,1,dog,0,A,motor_dirt_1,dog_label_A
1,124,1,124,1.2,label,left,B,drum,bongo,1,drum,0,B,drum_bongo_1,drum_label_B
1,128,1,128,1.2,label,left,B,phone,rotary,1,phone,0,B,phone_rotary_1,phone_label_B
1,225,0,81,.8,label,left,B,phone,rotary,2,motor,0,B,phone_rotary_2,motor_label_B
1,237,0,93,.8,label,right,B,phone,rotary,2,guitar,0,B,phone_rotary_2,guitar_label_B
1,52,1,52,1.2,label,left,A,drum,kit,1,drum,0,A,drum_kit_1,drum_label_A
1,166,0,22,.8,label,right,A,motor,dirt,1,guitar,0,A,motor_dirt_1,guitar_label_A
1,127,1,127,1.2,label,left,B,guitar,acoustic,2,guitar,0,B,guitar_acoustic_2,guitar_label_B
